timestamp,total_memory_mb,available_memory_mb,used_memory_mb,percent_memory
2024-06-18 11:35:34,5853.63,1351.66,4182.70,76.90
2024-06-18 11:35:39,5853.63,1351.66,4182.70,76.90
2024-06-18 11:35:44,5853.63,1351.55,4182.80,76.90
2024-06-18 11:35:49,5853.63,1351.55,4182.80,76.90
2024-06-18 11:35:54,5853.63,1351.56,4182.80,76.90
2024-06-18 11:35:59,5853.63,1351.56,4182.79,76.90
2024-06-18 11:36:04,5853.63,1351.57,4182.79,76.90
2024-06-18 11:36:09,5853.63,1351.57,4182.79,76.90
2024-06-18 11:36:14,5853.63,1351.50,4182.85,76.90
2024-06-18 11:36:19,5853.63,1351.51,4182.84,76.90
2024-06-18 11:36:24,5853.63,1351.52,4182.84,76.90
2024-06-18 11:36:29,5853.63,1351.52,4182.83,76.90
2024-06-18 11:36:34,5853.63,1351.53,4182.83,76.90
2024-06-18 11:36:39,5853.63,1351.54,4182.81,76.90
2024-06-18 11:36:44,5853.63,1351.54,4182.80,76.90
2024-06-18 11:36:49,5853.63,1351.50,4182.84,76.90
2024-06-18 11:36:54,5853.63,1351.51,4182.84,76.90
2024-06-18 11:36:59,5853.63,1351.52,4182.84,76.90
2024-06-18 11:37:04,5853.63,1351.52,4182.84,76.90
2024-06-18 11:37:09,5853.63,1351.53,4182.83,76.90
2024-06-18 11:37:14,5853.63,1351.53,4182.82,76.90
2024-06-18 11:37:19,5853.63,1351.53,4182.82,76.90
2024-06-18 11:37:24,5853.63,1351.53,4182.82,76.90
2024-06-18 11:37:29,5853.63,1351.54,4182.82,76.90
2024-06-18 11:37:34,5853.63,1351.54,4182.82,76.90
2024-06-18 11:37:39,5853.63,1351.54,4182.82,76.90
2024-06-18 11:37:44,5853.63,1351.55,4182.80,76.90
2024-06-18 11:37:49,5853.63,1351.55,4182.77,76.90
2024-06-18 11:37:54,5853.63,1351.23,4183.12,76.90
2024-06-18 11:37:59,5853.63,1367.51,4166.84,76.60
2024-06-18 11:38:04,5853.63,1376.76,4157.59,76.50
2024-06-18 11:38:09,5853.63,1382.36,4151.99,76.40
2024-06-18 11:38:14,5853.63,1382.38,4151.98,76.40
2024-06-18 11:38:19,5853.63,1382.38,4151.98,76.40
2024-06-18 11:38:24,5853.63,1382.14,4152.18,76.40
2024-06-18 11:38:29,5853.63,1381.74,4152.61,76.40
2024-06-18 11:38:34,5853.63,1381.75,4152.61,76.40
2024-06-18 11:38:39,5853.63,1381.52,4152.84,76.40
2024-06-18 11:38:44,5853.63,1382.27,4152.07,76.40
2024-06-18 11:38:49,5853.63,1382.28,4152.06,76.40
2024-06-18 11:38:54,5853.63,1382.29,4152.06,76.40
2024-06-18 11:38:59,5853.63,1380.15,4154.20,76.40
2024-06-18 11:39:04,5853.63,1380.89,4153.46,76.40
2024-06-18 11:39:09,5853.63,1380.89,4153.46,76.40
2024-06-18 11:39:14,5853.63,1380.89,4153.46,76.40
2024-06-18 11:39:19,5853.63,1380.89,4153.46,76.40
2024-06-18 11:39:24,5853.63,1380.90,4153.46,76.40
2024-06-18 11:39:29,5853.63,1380.66,4153.69,76.40
2024-06-18 11:39:34,5853.63,1376.82,4157.53,76.50
2024-06-18 11:39:39,5853.63,1385.74,4148.62,76.30
2024-06-18 11:39:44,5853.63,1385.74,4148.62,76.30
2024-06-18 11:39:49,5853.63,1385.52,4148.84,76.30
2024-06-18 11:39:54,5853.63,1385.53,4148.83,76.30
2024-06-18 11:39:59,5853.63,1386.30,4147.80,76.30
2024-06-18 11:40:04,5853.63,1380.37,4153.47,76.40
2024-06-18 11:40:09,5853.63,1380.40,4153.46,76.40
2024-06-18 11:40:14,5853.63,1380.41,4153.45,76.40
2024-06-18 11:40:19,5853.63,1380.40,4153.45,76.40
2024-06-18 11:40:24,5853.63,1380.41,4153.45,76.40
2024-06-18 11:40:29,5853.63,1380.43,4153.43,76.40
2024-06-18 11:40:34,5853.63,1380.44,4153.41,76.40
2024-06-18 11:40:39,5853.63,1380.32,4153.54,76.40
2024-06-18 11:40:44,5853.63,1380.32,4153.53,76.40
2024-06-18 11:40:49,5853.63,1380.51,4153.34,76.40
2024-06-18 11:40:54,5853.63,1380.53,4153.33,76.40
2024-06-18 11:40:59,5853.63,1382.78,4151.08,76.40
2024-06-18 11:41:04,5853.63,1382.89,4150.96,76.40
2024-06-18 11:41:09,5853.63,1386.52,4147.34,76.30
2024-06-18 11:41:14,5853.63,1386.52,4147.33,76.30
2024-06-18 11:41:19,5853.63,1386.53,4147.33,76.30
2024-06-18 11:41:24,5853.63,1386.32,4147.53,76.30
2024-06-18 11:41:29,5853.63,1386.32,4147.53,76.30
2024-06-18 11:41:34,5853.63,1386.09,4147.77,76.30
2024-06-18 11:41:39,5853.63,1386.09,4147.77,76.30
2024-06-18 11:41:44,5853.63,1385.89,4147.97,76.30
2024-06-18 11:41:49,5853.63,1385.89,4147.97,76.30
2024-06-18 11:41:54,5853.63,1385.89,4147.96,76.30
2024-06-18 11:41:59,5853.63,1385.91,4147.95,76.30
2024-06-18 11:42:04,5853.63,1385.91,4147.95,76.30
2024-06-18 11:42:09,5853.63,1385.91,4147.95,76.30
2024-06-18 11:42:14,5853.63,1385.90,4147.95,76.30
2024-06-18 11:42:19,5853.63,1385.42,4148.44,76.30
2024-06-18 11:42:24,5853.63,1385.43,4148.43,76.30
2024-06-18 11:42:29,5853.63,1385.43,4148.42,76.30
2024-06-18 11:42:34,5853.63,1385.44,4148.41,76.30
2024-06-18 11:42:39,5853.63,1385.44,4148.41,76.30
2024-06-18 11:42:44,5853.63,1385.44,4148.41,76.30
2024-06-18 11:42:49,5853.63,1385.11,4148.74,76.30
2024-06-18 11:42:54,5853.63,1377.38,4156.47,76.50
2024-06-18 11:42:59,5853.63,1377.13,4156.70,76.50
2024-06-18 11:43:04,5853.63,1392.65,4141.20,76.20
2024-06-18 11:43:09,5853.63,1392.45,4141.40,76.20
2024-06-18 11:43:14,5853.63,1392.45,4141.40,76.20
2024-06-18 11:43:19,5853.63,1387.35,4146.50,76.30
2024-06-18 11:43:24,5853.63,1402.89,4130.96,76.00
2024-06-18 11:43:29,5853.63,1402.90,4130.94,76.00
2024-06-18 11:43:34,5853.63,1402.91,4130.94,76.00
2024-06-18 11:43:39,5853.63,1404.27,4129.59,76.00
2024-06-18 11:43:44,5853.63,1404.29,4129.56,76.00
2024-06-18 11:43:49,5853.63,1404.08,4129.75,76.00
2024-06-18 11:43:54,5853.63,1400.12,4133.73,76.10
2024-06-18 11:43:59,5853.63,1400.07,4133.79,76.10
2024-06-18 11:44:04,5853.63,1399.82,4134.02,76.10
2024-06-18 11:44:09,5853.63,1399.83,4134.02,76.10
2024-06-18 11:44:14,5853.63,1399.84,4134.02,76.10
2024-06-18 11:44:19,5853.63,1399.88,4133.97,76.10
2024-06-18 11:44:24,5853.63,1399.89,4133.95,76.10
2024-06-18 11:44:29,5853.63,1399.87,4133.98,76.10
2024-06-18 11:44:34,5853.63,1399.89,4133.97,76.10
2024-06-18 11:44:39,5853.63,1399.89,4133.97,76.10
2024-06-18 11:44:44,5853.63,1399.90,4133.95,76.10
2024-06-18 11:44:49,5853.63,1399.91,4133.95,76.10
2024-06-18 11:44:54,5853.63,1399.91,4133.95,76.10
2024-06-18 11:44:59,5853.63,1399.91,4133.95,76.10
2024-06-18 11:45:04,5853.63,1399.91,4133.95,76.10
2024-06-18 11:45:09,5853.63,1399.91,4133.95,76.10
2024-06-18 11:45:14,5853.63,1399.91,4133.95,76.10
2024-06-18 11:45:19,5853.63,1399.91,4133.95,76.10
2024-06-18 11:45:24,5853.63,1399.92,4133.94,76.10
2024-06-18 11:45:29,5853.63,1399.92,4133.94,76.10
2024-06-18 11:45:34,5853.63,1399.89,4133.97,76.10
2024-06-18 11:45:39,5853.63,1399.89,4133.97,76.10
2024-06-18 11:45:44,5853.63,1399.90,4133.95,76.10
2024-06-18 11:45:49,5853.63,1399.90,4133.95,76.10
2024-06-18 11:45:54,5853.63,1399.91,4133.95,76.10
2024-06-18 11:45:59,5853.63,1399.92,4133.94,76.10
2024-06-18 11:46:04,5853.63,1399.85,4134.00,76.10
2024-06-18 11:46:09,5853.63,1399.86,4134.00,76.10
2024-06-18 11:46:14,5853.63,1399.86,4134.00,76.10
2024-06-18 11:46:19,5853.63,1399.86,4134.00,76.10
2024-06-18 11:46:24,5853.63,1399.86,4133.99,76.10
2024-06-18 11:46:29,5853.63,1399.86,4133.99,76.10
2024-06-18 11:46:34,5853.63,1399.86,4133.98,76.10
2024-06-18 11:46:39,5853.63,1399.85,4134.00,76.10
2024-06-18 11:46:44,5853.63,1399.86,4133.98,76.10
2024-06-18 11:46:49,5853.63,1399.86,4133.98,76.10
2024-06-18 11:46:54,5853.63,1399.88,4133.98,76.10
2024-06-18 11:46:59,5853.63,1399.89,4133.96,76.10
2024-06-18 11:47:04,5853.63,1399.89,4133.96,76.10
2024-06-18 11:47:09,5853.63,1399.64,4134.20,76.10
2024-06-18 11:47:14,5853.63,1399.66,4134.20,76.10
2024-06-18 11:47:19,5853.63,1399.66,4134.20,76.10
2024-06-18 11:47:24,5853.63,1398.93,4134.93,76.10
2024-06-18 11:47:29,5853.63,1398.94,4134.92,76.10
2024-06-18 11:47:34,5853.63,1398.94,4134.92,76.10
2024-06-18 11:47:39,5853.63,1398.94,4134.92,76.10
2024-06-18 11:47:44,5853.63,1398.16,4135.69,76.10
2024-06-18 11:47:49,5853.63,1398.16,4135.66,76.10
2024-06-18 11:47:54,5853.63,1398.20,4135.65,76.10
2024-06-18 11:47:59,5853.63,1398.20,4135.65,76.10
2024-06-18 11:48:04,5853.63,1398.21,4135.64,76.10
2024-06-18 11:48:09,5853.63,1397.94,4135.91,76.10
2024-06-18 11:48:14,5853.63,1398.09,4135.77,76.10
2024-06-18 11:48:19,5853.63,1398.09,4135.76,76.10
2024-06-18 11:48:24,5853.63,1397.93,4135.93,76.10
2024-06-18 11:48:29,5853.63,1398.91,4134.95,76.10
2024-06-18 11:48:34,5853.63,1398.91,4134.95,76.10
2024-06-18 11:48:39,5853.63,1398.35,4135.49,76.10
2024-06-18 11:48:44,5853.63,1398.16,4135.69,76.10
2024-06-18 11:48:49,5853.63,1395.73,4138.12,76.20
2024-06-18 11:48:54,5853.63,1395.74,4138.11,76.20
2024-06-18 11:48:59,5853.63,1395.50,4138.35,76.20
2024-06-18 11:49:04,5853.63,1392.60,4141.26,76.20
2024-06-18 11:49:09,5853.63,1392.61,4141.25,76.20
2024-06-18 11:49:14,5853.63,1380.82,4152.91,76.40
2024-06-18 11:49:19,5853.63,1374.84,4158.71,76.50
2024-06-18 11:49:24,5853.63,1229.62,4297.46,79.00
2024-06-18 11:49:29,5853.63,1242.49,4284.60,78.80
2024-06-18 11:49:34,5853.63,1265.34,4261.75,78.40
2024-06-18 11:49:39,5853.63,1269.83,4257.27,78.30
2024-06-18 11:49:44,5853.63,1269.85,4257.24,78.30
2024-06-18 11:49:49,5853.63,1272.10,4254.99,78.30
2024-06-18 11:49:54,5853.63,1275.04,4252.04,78.20
2024-06-18 11:49:59,5853.63,1274.76,4252.34,78.20
2024-06-18 11:50:04,5853.63,1274.76,4252.33,78.20
2024-06-18 11:50:09,5853.63,1274.54,4252.55,78.20
2024-06-18 11:50:14,5853.63,1275.05,4252.05,78.20
2024-06-18 11:50:19,5853.63,1275.05,4252.04,78.20
2024-06-18 11:50:24,5853.63,1275.06,4252.04,78.20
2024-06-18 11:50:29,5853.63,1272.09,4255.01,78.30
2024-06-18 11:50:34,5853.63,1213.98,4313.00,79.30
2024-06-18 11:50:39,5853.63,1144.49,4386.60,80.40
2024-06-18 11:50:44,5853.63,1056.23,4475.72,82.00
2024-06-18 11:50:49,5853.63,946.02,4586.05,83.80
2024-06-18 11:50:54,5853.63,932.86,4599.76,84.10
2024-06-18 11:50:59,5853.63,953.24,4579.41,83.70
2024-06-18 11:51:04,5853.63,997.50,4535.16,83.00
2024-06-18 11:51:09,5853.63,959.99,4572.51,83.60
2024-06-18 11:51:14,5853.63,927.88,4604.87,84.10
2024-06-18 11:51:19,5853.63,956.84,4575.91,83.70
2024-06-18 11:51:24,5853.63,927.75,4605.02,84.20
2024-06-18 11:51:29,5853.63,924.14,4608.62,84.20
2024-06-18 11:51:34,5853.63,902.48,4630.23,84.60
2024-06-18 11:51:39,5853.63,908.92,4627.88,84.50
2024-06-18 11:51:44,5853.63,897.93,4638.87,84.70
2024-06-18 11:51:49,5853.63,856.33,4680.43,85.40
2024-06-18 11:51:54,5853.63,856.36,4680.18,85.40
2024-06-18 11:51:59,5853.63,879.44,4657.34,85.00
2024-06-18 11:52:04,5853.63,911.77,4624.81,84.40
2024-06-18 11:52:09,5853.63,911.52,4625.06,84.40
2024-06-18 11:52:14,5853.63,857.70,4678.87,85.30
